emotion,language,comment
neutral,english,Just finished my homework
surprised,bangla,এটা কখনোই আশা করিনি
anxious,english,I'm so nervous about tomorrow
love,english,Love you to the moon and back
surprised,english,Unbelievable!
sad,english,This world is cruel
angry,english,This is so frustrating!
neutral,english,My phone battery is low
anxious,english,I am trembling inside
happy,bangla,আমি খুবই আনন্দিত
happy,bangla,এটা আমার জন্য গর্বের
happy,bangla,আমার লক্ষ্য পূরণ হয়েছে
sad,bangla,সব হারিয়ে ফেলেছি
neutral,english,Just finished my homework
love,bangla,তোমার স্পর্শে স্বর্গ
sad,english,I miss you so much
anxious,bangla,হার্টের ধড়ফড়ানি বন্ধ হচ্ছে না
sad,english,Why does it hurt so much
anxious,bangla,ব্যর্থ হলে কি হবে ভেবে মরি
love,bangla,তুমি ছাড়া অচল
anxious,bangla,বুকটা ধড়ফড় করছে
happy,english,Absolutely fantastic!
sad,bangla,কেউ আমাকে বুঝতে চায় না
angry,english,What a waste of time
neutral,english,I had my breakfast
neutral,english,Time to sleep now
anxious,english,My heart is racing
love,english,Best feeling in the world
angry,bangla,আমি ঠকেছি
love,bangla,তোমার হাসি আমার পৃথিবী
neutral,english,Need to charge my laptop
love,bangla,আমি তোমাকে মিস করি
sad,english,There is no hope left
neutral,bangla,বৃষ্টি থেমে গেছে
anxious,bangla,হাত পা ঠান্ডা হয়ে আসছে
sad,bangla,জীবন থেকে ক্লান্ত
surprised,english,I never expected this to happen
happy,english,Feeling great and blessed!
love,english,So lucky to have you
surprised,english,I am stunned
neutral,english,Have a meeting at 3
angry,bangla,বেশি বাড়াবাড়ি করছো!
neutral,english,Just finished my homework
happy,bangla,আজ আমি খুব খুশি
sad,english,Everything is falling apart
happy,english,Such a pleasant surprise
angry,english,So sick of this nonsense
surprised,bangla,জীবনে এটা কখনো ভাবিনি
surprised,english,Really? That's shocking!
surprised,english,You're kidding me!
sad,english,I feel so lonely today
happy,bangla,দারুণ এক অনুভূতি
sad,english,I give up
angry,english,This is so frustrating!
anxious,bangla,কিছু একটা খারাপ হবে মনে হচ্ছে
angry,english,I'm boiling inside
neutral,english,Going for a walk later
sad,bangla,আমি খুব হতাশ
anxious,bangla,দিশেহারা হয়ে যাচ্ছি
happy,english,What a wonderful day!
angry,bangla,এটা অন্যায়!
neutral,english,Just another ordinary day
angry,english,So angry I can't even think straight
sad,english,I just want to disappear
love,english,Can't imagine life without you
happy,english,So proud of myself
love,english,Love is beautiful
happy,english,Absolutely fantastic!
neutral,english,Going for a walk later
neutral,english,I need to buy groceries
surprised,bangla,এটা তো শকিং!
angry,english,This is so frustrating!
anxious,bangla,ব্যর্থ হলে কি হবে ভেবে মরি
neutral,english,It's raining outside
angry,english,Total disaster
neutral,english,Nothing special happened
anxious,bangla,ভয়ে কুঁকড়ে যাচ্ছি
love,english,I love you so much!
sad,bangla,ব্যথাটা সহ্যের বাইরে
angry,english,Stop lying to me!
love,bangla,তোমার কথা ভাবলেই ভালো লাগে
anxious,bangla,ভয়ে কুঁকড়ে যাচ্ছি
sad,bangla,আজ খুব মন খারাপ
angry,bangla,এটা সম্পূর্ণ অগ্রহণযোগ্য
anxious,bangla,ফলাফল নিয়ে খুব ভয় লাগছে
neutral,english,Just browsing social media
love,english,You complete me
neutral,english,My phone battery is low
anxious,bangla,অজানা ভয়ে আছি
surprised,english,I am in shock
love,bangla,আমার হৃদয় তোমার জন্য
surprised,english,No way!
neutral,bangla,ফ্রিজে কিছু নেই
love,english,You mean the world to me
love,bangla,তুমি আমার প্রেরণা
angry,bangla,সব পাপী একদিন ধরা পড়বে
love,bangla,তুমি আমার প্রেরণা
surprised,bangla,কি বলছ! এটা সত্যি?
neutral,bangla,আজ মিটিং আছে ৩টায়
anxious,english,When will this be over
love,bangla,আমি তোমাকে মিস করি
neutral,english,Having some tea right now
anxious,bangla,প্যারানয়েড হয়ে গেছি
anxious,bangla,উদ্বিগ্নতায় শেষ
angry,english,Are you serious right now
anxious,english,I'm afraid of the future
angry,english,What a waste of time
anxious,bangla,স্ট্রেসে আছি খুব
neutral,english,My phone battery is low
anxious,english,I need to breathe
sad,bangla,মনটা ভেঙে গেছে
happy,bangla,খুব ভালো লাগছে আজকে
happy,bangla,আল্লাহর রহমতে ভালো আছি
happy,bangla,জীবনে এত আনন্দ আর কি চাই
anxious,bangla,কিছু একটা খারাপ হবে মনে হচ্ছে
love,bangla,তোমার জন্য আমার জীবন উৎসর্গ
neutral,bangla,বন্ধুর সাথে কথা হলো
sad,bangla,আমি কারো কাজে লাগি না
surprised,english,I never expected this to happen
neutral,bangla,বন্ধুর সাথে কথা হলো
surprised,bangla,কী দারুণ খবর!
anxious,english,The anxiety is overwhelming
love,english,Love is beautiful
happy,bangla,সুখে আছি
angry,bangla,এত নিষ্ঠুর কেন সবাই
happy,english,So proud of myself
neutral,bangla,একটি সিনেমা দেখলাম
angry,bangla,আমার সহ্যের বাইরে!
sad,english,So disappointed
surprised,bangla,অসম্ভব!
sad,bangla,আমি খুব হতাশ
love,bangla,তুমি আমার সবকিছু
sad,bangla,বাঁচার ইচ্ছা নেই
love,bangla,আমি তোমাকে অনেক ভালোবাসি
surprised,bangla,এটা তো পুরোপুরি অপ্রত্যাশিত!
love,english,You are my everything
anxious,english,I am on edge all the time
love,bangla,ভালোবাসি তোমায় অসীম
neutral,bangla,আজ মিটিং আছে ৩টায়
angry,english,What a waste of time
angry,english,This is infuriating
sad,english,I just want to sleep forever
happy,english,I am so happy today!
neutral,bangla,আজ মিটিং আছে ৩টায়
surprised,bangla,এটা তো শকিং!
surprised,english,I am in shock
neutral,bangla,আজ রান্না করেছি
happy,english,Feeling on top of the world
sad,english,No one understands me
neutral,bangla,ঘুম থেকে উঠলাম সকালে
neutral,english,Going to work now
happy,english,I am thrilled
love,bangla,তুমি আমার সারা জীবনের গল্প
surprised,bangla,হয়নি তো কিছু?
neutral,bangla,চা খাচ্ছি
love,bangla,তুমি ছাড়া কিছুই না আমি
angry,english,I can't believe this!
happy,bangla,কি সুন্দর একটা দিন!
angry,english,Why do people have to be so rude
sad,bangla,জীবনটা বোঝা হয়ে গেছে
surprised,english,No way!
surprised,english,You're kidding me!
angry,english,I am done with this
sad,bangla,আমি খুব একা
love,english,Love is beautiful
anxious,bangla,আমার ভেতরটা কাঁপছে
sad,bangla,কেউ আমার পাশে নেই
neutral,bangla,কাল শপিং এ যাব
happy,english,What a blessing!
love,bangla,তোমার জন্য আমার ভালোবাসা চিরন্তন
sad,bangla,একা একা খুব কষ্ট হচ্ছে
neutral,bangla,নতুন জিন্স কিনেছি
surprised,bangla,এটা কীভাবে জানলেন?
happy,bangla,সবাইকে অনেক অনেক ভালোবাসা
happy,english,Happiness is all around me
love,bangla,তুমি আমার পৃথিবী
angry,bangla,আমি প্রতিশোধ নেব
anxious,bangla,কালকের জন্য খুব টেনশন হচ্ছে
love,bangla,তুমি আমার স্বপ্নের মানুষ
neutral,english,The weather is okay I guess
neutral,bangla,সন্ধ্যায় হাঁটতে যাব
anxious,english,The anxiety is overwhelming
happy,bangla,গর্বিত নিজের উপর
anxious,bangla,ঘুমাতে পারছি না চিন্তায়
anxious,english,My heart is racing
neutral,bangla,নতুন জিন্স কিনেছি
anxious,english,This uncertainty is killing me
happy,bangla,আজ অনেক আনন্দ
angry,bangla,সব মিথ্যা কথা!
angry,english,How dare they do this
angry,english,You crossed the line
anxious,english,I can't stop worrying
surprised,bangla,হয়নি তো কিছু?
surprised,english,Wow I did not see that coming!
happy,english,Happiness is all around me
neutral,english,Made some coffee
surprised,bangla,এটা কীভাবে সম্ভব!
happy,english,This makes me smile
happy,bangla,বন্ধুদের সাথে আড্ডা দারুণ
surprised,english,OMG! That's crazy!
neutral,bangla,নাস্তা করলাম
sad,english,I miss you so much
anxious,english,I feel suffocated
happy,english,So proud of myself
angry,bangla,ন্যায়বিচার চাই!
sad,bangla,মনটা ভেঙে গেছে
neutral,bangla,গান শুনছি
anxious,bangla,কিছু একটা হবে
sad,english,I feel broken
sad,bangla,বাঁচার ইচ্ছা নেই
surprised,english,I'm speechless right now
surprised,english,Cannot process this
angry,bangla,আমার সহ্যের বাইরে!
surprised,bangla,সত্যি কথা বলছ?
love,bangla,তুমি আমার প্রেরণা
love,bangla,তুমি আমার সবকিছু
anxious,bangla,উদ্বিগ্নতায় শেষ
surprised,english,That came out of nowhere
sad,bangla,কান্না পাচ্ছে খুব
angry,english,This is outrageous
neutral,bangla,সোশ্যাল মিডিয়া দেখছি
surprised,bangla,হয়নি তো কিছু?
neutral,english,Going for a walk later
angry,english,What a waste of time
sad,bangla,নিঃসঙ্গতা গ্রাস করছে
angry,bangla,এটা সম্পূর্ণ অগ্রহণযোগ্য
sad,bangla,আমি খুব একা
sad,bangla,আমি ক্লান্ত হয়ে গেছি
anxious,bangla,বুকটা ধড়ফড় করছে
surprised,bangla,এটা কল্পনাতীত!
surprised,bangla,জীবনে এটা কখনো ভাবিনি
anxious,english,I feel so stressed out
happy,bangla,আলহামদুলিল্লাহ সব ভালো
sad,english,I am drowning in sadness
love,bangla,তোমাকে নিয়ে আমার গর্ব
anxious,english,I feel like something bad will happen
surprised,bangla,অসম্ভব!
happy,bangla,আনন্দে ভাসছি
angry,english,This is a total scam
love,english,Thank you for being you
angry,bangla,এভাবে চলতে দেব না
angry,english,This is infuriating
anxious,bangla,হাত পা ঠান্ডা হয়ে আসছে
happy,bangla,গর্বিত নিজের উপর
neutral,english,Going for a walk later
surprised,english,OMG! That's crazy!
love,english,I cherish every moment with you
sad,bangla,কেউ আমাকে বুঝতে চায় না
happy,english,So grateful for everything!
surprised,english,OMG! That's crazy!
happy,bangla,জীবনটা দারুণ যাচ্ছে
surprised,bangla,মাই গড!
surprised,english,That is incredible!
surprised,english,Can't believe this is real
happy,english,Happiness is all around me
happy,english,Best day ever!
neutral,english,Need to go grocery shopping
surprised,english,I'm speechless right now
surprised,english,No way! This is unbelievable!
surprised,bangla,কী দারুণ খবর!
love,bangla,তোমার হাসি আমার পৃথিবী
neutral,english,Nothing new to report
angry,english,This is a total scam
happy,english,I am so happy today!
sad,english,I feel invisible
love,english,Love you forever
neutral,bangla,বই পড়ছি এখন
surprised,english,This is mind blowing
happy,bangla,জীবনটা দারুণ যাচ্ছে
love,english,You are perfect just the way you are
anxious,english,Feeling really uneasy
love,english,My heart beats for you
sad,bangla,সব কিছু উল্টে গেছে
happy,bangla,কি সুন্দর একটা দিন!
sad,bangla,সব কিছু উল্টে গেছে
anxious,bangla,দিশেহারা হয়ে যাচ্ছি
love,bangla,তুমি আমার জীবনের আলো
anxious,english,Paranoid and restless
angry,bangla,এটা আমি ভুলব না
love,english,My heart beats for you
angry,bangla,চুপ করে থাকব না আর
surprised,english,You're kidding me!
neutral,bangla,রোদ উঠেছে এখন
angry,bangla,আমি প্রতারিত হয়েছি
neutral,bangla,ঘুম থেকে উঠলাম সকালে
angry,english,Stop lying to me!
surprised,bangla,এটা স্বপ্ন নিশ্চয়ই!
neutral,english,Nothing new to report
happy,bangla,আমার লক্ষ্য পূরণ হয়েছে
anxious,bangla,পাগল হয়ে যাব
happy,english,This is the best news ever
sad,bangla,ভেঙে পড়েছি সম্পূর্ণ
anxious,bangla,কালকের জন্য খুব টেনশন হচ্ছে
happy,english,I love this weather!
anxious,english,Overthinking everything again
happy,english,Absolutely fantastic!
angry,bangla,থামো এখনি!
happy,english,This makes me smile
sad,bangla,অন্ধকারে ডুবে যাচ্ছি
happy,bangla,আজ আমি খুব খুশি
surprised,english,I am stunned
happy,english,My heart is full of joy
love,bangla,তোমাকে পাওয়া আমার সৌভাগ্য
angry,bangla,এটা আমি মেনে নিতে পারব না!
anxious,bangla,উদ্বিগ্নতায় শেষ
happy,bangla,বন্ধুদের সাথে আড্ডা দারুণ
sad,english,I feel so lonely today
anxious,bangla,আমার মাথা কাজ করছে না
surprised,english,Cannot process this
anxious,english,I need to breathe
sad,bangla,কান্না পাচ্ছে খুব
sad,english,I feel so lonely today
sad,bangla,অন্ধকারে ডুবে যাচ্ছি
sad,bangla,সব শেষ হয়ে গেছে
love,bangla,তোমার হাসি আমার পৃথিবী
anxious,bangla,আমার ভেতরটা কাঁপছে
happy,english,I am thrilled
sad,bangla,কান্না পাচ্ছে খুব
anxious,bangla,ঘুমাতে পারছি না চিন্তায়
love,english,Love you forever
love,bangla,তুমি ছাড়া অচল
angry,english,I am done with this
sad,english,Nothing is going right
happy,english,What a wonderful day!
sad,bangla,অন্ধকারে ডুবে যাচ্ছি
sad,bangla,আমার কিছুই নেই
anxious,english,I am trembling inside
sad,english,I feel broken
happy,english,I love this weather!
love,english,You are my sunshine
sad,english,I feel invisible
happy,bangla,আজকে মনটা খুব ভালো
love,english,You are loved beyond measure
neutral,bangla,বাজারে যাব একটু পর
surprised,english,This changes everything!
happy,bangla,আনন্দে ভাসছি
neutral,bangla,গতকাল বাসায় ছিলাম
sad,english,I miss you so much
happy,bangla,ভীষণ ভালো লাগছে
surprised,english,No way! This is unbelievable!
neutral,english,My phone battery is low
neutral,bangla,একটি সিনেমা দেখলাম
anxious,english,I can't stop worrying
happy,bangla,সবাইকে অনেক অনেক ভালোবাসা
surprised,english,No way!
sad,bangla,কেউ আমার কথা বুঝে না
happy,bangla,পরিবার নিয়ে আনন্দ
angry,english,Are you serious right now
neutral,english,Time to sleep now
neutral,english,Thinking about what to cook
neutral,english,Just got home
sad,bangla,জীবন থেকে ক্লান্ত
sad,english,Life feels so heavy
angry,english,So sick of this nonsense
sad,english,Nothing is going right
surprised,bangla,বাহ! এটা তো দারুণ!
love,bangla,ভালোবাসা অমর
anxious,english,I'm so nervous about tomorrow
sad,bangla,কষ্টে জর্জরিত
anxious,english,I'm so scared of the result
angry,bangla,আমার রাগ এখন বাস্তব
angry,bangla,অবিচার করা হচ্ছে আমার সাথে
sad,bangla,কেউ আমাকে ভালোবাসে না
sad,bangla,আমি খুব হতাশ
happy,english,So proud of myself
happy,english,So grateful for everything!
surprised,bangla,কেউ জানত না এটা হবে!
surprised,english,Really? That's shocking!
happy,bangla,হাসি মুখে দিন শুরু
neutral,bangla,ঘুম থেকে উঠলাম সকালে
surprised,bangla,এটা কীভাবে জানলেন?
sad,english,I am drowning in sadness
anxious,bangla,উদ্বিগ্নতায় শেষ
sad,english,I give up
anxious,bangla,শ্বাস নিতে কষ্ট হচ্ছে
happy,bangla,দারুণ এক অনুভূতি
angry,bangla,বিশ্বাসঘাতকতা!
love,bangla,তুমি আসলেই স্পেশাল
surprised,english,I am stunned
sad,bangla,কেউ আমার কথা বুঝে না
surprised,english,This is totally unexpected
sad,bangla,ভেঙে পড়েছি সম্পূর্ণ
neutral,bangla,একটি সিনেমা দেখলাম
neutral,english,Nothing special happened
love,bangla,তুমি ছাড়া অচল
happy,english,So grateful for everything!
angry,bangla,বেশি বাড়াবাড়ি করছো!
love,bangla,তোমার জন্যই আমার জীবন
angry,bangla,এটা অন্যায়!
anxious,english,Worst feeling ever
angry,bangla,এভাবে চলতে দেব না
love,bangla,তুমি আসলেই স্পেশাল
happy,bangla,সবাইকে অনেক অনেক ভালোবাসা
love,english,I adore you
neutral,english,Just browsing social media
happy,bangla,জীবনে এত আনন্দ আর কি চাই
anxious,bangla,কিছু একটা খারাপ হবে মনে হচ্ছে
angry,english,I hate this so much
neutral,english,The internet is slow today
sad,english,Wish things were different
angry,english,I'm about to lose my mind
angry,bangla,সব পাপী একদিন ধরা পড়বে
anxious,english,Everything feels out of control
sad,english,Life feels so heavy
angry,english,This is a total scam
anxious,english,I'm so nervous about tomorrow
surprised,bangla,এটা কল্পনাতীত!
happy,bangla,আমি খুবই আনন্দিত
angry,bangla,এটা আমি মেনে নিতে পারব না!
sad,english,Wish things were different
surprised,bangla,সত্যি কথা বলছ?
anxious,bangla,ঘুমাতে পারছি না চিন্তায়
sad,bangla,জীবনটা বোঝা হয়ে গেছে
surprised,english,I'm speechless right now
anxious,bangla,পাগল হয়ে যাব
angry,bangla,এটা শেষ নয় শুরু
sad,english,Nothing makes sense anymore
surprised,english,Unbelievable!
happy,english,Today is my lucky day
surprised,bangla,আমি ভাবতেও পারিনি
surprised,english,I am stunned
happy,english,Everything is going my way
happy,bangla,কি সুন্দর একটা দিন!
sad,bangla,আজ খুব মন খারাপ
angry,bangla,সাবধান করছি!
happy,bangla,সাফল্যের স্বাদ মধুর
anxious,bangla,মনটা শান্ত নয়
anxious,english,I'm so scared of the result
surprised,bangla,আমি হতবাক!
love,bangla,ভালোবাসি তোমায় অসীম
anxious,bangla,কিছু একটা হবে
neutral,bangla,মোবাইল চার্জ দিচ্ছি
sad,english,Why does this keep happening
love,bangla,তুমি আসলেই স্পেশাল
happy,english,What a wonderful day!
anxious,english,When will this be over
surprised,bangla,এটা স্বপ্ন নিশ্চয়ই!
anxious,bangla,ঘুমাতে পারছি না চিন্তায়
neutral,bangla,আজ মিটিং আছে ৩টায়
neutral,bangla,একটি সিনেমা দেখলাম
neutral,bangla,রোদ উঠেছে এখন
neutral,english,Reading news online
angry,bangla,অনেক রাগ হচ্ছে!
angry,english,Enough is enough!
neutral,english,It's raining outside
angry,bangla,আগুন জ্বলছে ভিতরে
anxious,bangla,ভুল হয়ে গেলে কি হবে?
neutral,bangla,বৃষ্টি থেমে গেছে
happy,bangla,সব কিছু পারফেক্ট
neutral,bangla,বাসায় বসে আছি
sad,bangla,আমি খুব হতাশ
angry,bangla,আমি প্রতিশোধ নেব
love,english,You are my whole world
angry,english,How stupid can people be
anxious,english,I can't handle this
happy,bangla,আজকে আমার সেরা দিন
anxious,english,I can't calm down
happy,bangla,আলহামদুলিল্লাহ সব ভালো
neutral,english,The internet is slow today
anxious,english,Can't sleep at all tonight
happy,english,Absolutely fantastic!
neutral,english,Just finished my homework
anxious,bangla,স্ট্রেসে আছি খুব
anxious,english,What if something goes wrong?
surprised,bangla,এটা তো পুরোপুরি অপ্রত্যাশিত!
neutral,bangla,নাস্তা করলাম
angry,english,Are you serious right now
love,english,You are my forever person
anxious,english,So much pressure on me
sad,bangla,আমি হেরে গেছি
surprised,bangla,আমি তো ভাবতেই পারিনি
sad,english,Why me?
angry,bangla,আমি ঠকেছি
love,bangla,আমি তোমাকে মিস করি
sad,english,This world is cruel
anxious,bangla,আমার ভেতরটা কাঁপছে
surprised,bangla,আমি তো ভাবতেই পারিনি
surprised,english,This changes everything!
happy,bangla,হাসি মুখে দিন শুরু
anxious,english,I am on edge all the time
neutral,english,Just browsing social media
angry,bangla,তোমার লজ্জা করে না?
surprised,english,What a revelation!
neutral,english,Having some tea right now
anxious,english,I'm panicking inside
sad,bangla,আমি খুব হতাশ
love,bangla,তোমাকে পাওয়া আমার সৌভাগ্য
love,english,You are my sunshine
sad,english,Everything is falling apart
angry,english,I want justice!
angry,english,Some people are just terrible
angry,bangla,অপমান সহ্য করব না
neutral,english,Nothing special happened
surprised,english,What a twist!
surprised,bangla,আমার চোখকে বিশ্বাস হচ্ছে না
happy,english,Best day ever!
happy,english,I am so happy today!
happy,english,So excited for the weekend!
surprised,bangla,আমি হতবাক!
neutral,english,Made some coffee
angry,english,I can't believe this!
sad,english,I feel so lonely today
love,bangla,তুমি আমার পৃথিবী
love,english,Love is beautiful
angry,bangla,এত নিষ্ঠুর কেন সবাই
love,bangla,তোমার জন্যই আমার জীবন
sad,english,So disappointed
angry,bangla,এটা অন্যায়!
sad,bangla,কান্না পাচ্ছে খুব
anxious,bangla,উদ্বিগ্নতায় শেষ
happy,english,Couldn't be happier right now
angry,bangla,অবিচার করা হচ্ছে আমার সাথে
sad,english,I feel broken
surprised,english,Cannot process this
neutral,bangla,চা খাচ্ছি
happy,bangla,এটা আমার জন্য গর্বের
happy,bangla,সব কিছু পারফেক্ট
anxious,english,Every little thing worries me
surprised,bangla,এটা তো স্বপ্নের মতো
surprised,bangla,আমার চোখকে বিশ্বাস হচ্ছে না
neutral,english,Have a meeting at 3
sad,bangla,কেউ আমাকে ভালোবাসে না
surprised,bangla,এটা তো নাটকের মতো!
neutral,bangla,গতকাল বাসায় ছিলাম
sad,bangla,কষ্টে আছি খুব
sad,english,I feel invisible
surprised,english,That's the last thing I expected
love,bangla,তোমাকে পাওয়া আমার সৌভাগ্য
neutral,bangla,গান শুনছি
surprised,bangla,কি বলছ! এটা সত্যি?
angry,english,Absolutely ridiculous
anxious,bangla,আমার ভেতরটা কাঁপছে
anxious,bangla,কালকের জন্য খুব টেনশন হচ্ছে
neutral,english,Nothing new to report
angry,english,Why do people have to be so rude
surprised,english,What a twist!
happy,english,I am thrilled
neutral,bangla,গান শুনছি
neutral,bangla,রোদ উঠেছে এখন
angry,bangla,তোমার অহংকার নিচে নামাব
anxious,english,The anxiety is overwhelming
love,bangla,তোমার জন্যই আমার জীবন
anxious,english,My mind won't stop racing
anxious,english,What if something goes wrong?
love,bangla,তোমার জন্য আমার ভালোবাসা চিরন্তন
love,bangla,ভালোবাসা অমর
neutral,bangla,ফ্রিজে কিছু নেই
anxious,english,Worst feeling ever
love,bangla,ভালোবাসি তোমায় অসীম
angry,bangla,অনেক রাগ হচ্ছে!
neutral,english,The internet is slow today
angry,bangla,এটা শেষ নয় শুরু
angry,bangla,এভাবে চলতে দেব না
happy,english,I feel so lucky
angry,bangla,থামো এখনি!
surprised,english,Did that really just happen?
love,english,You are my soulmate
surprised,english,You're kidding me!
surprised,bangla,কেউ জানত না এটা হবে!
love,english,I cherish every moment with you
neutral,bangla,সন্ধ্যায় হাঁটতে যাব
sad,bangla,হারিয়ে যাচ্ছি
sad,english,So tired of all this
neutral,bangla,নাস্তা করলাম
love,bangla,তোমার সাথে সময় কাটালে ভালো লাগে
happy,english,What a wonderful day!
happy,english,So grateful for everything!
neutral,english,It's a regular weekday
angry,english,Absolutely ridiculous
angry,bangla,আমার সহ্যের বাইরে!
sad,bangla,আমি কারো কাজে লাগি না
sad,bangla,আজ খুব মন খারাপ
happy,english,So much to celebrate!
happy,bangla,গর্বিত নিজের উপর
sad,bangla,কিছুই পরিবর্তন হয় না
happy,bangla,আজ আমি খুব খুশি
love,english,I choose you every day
happy,bangla,সব কিছু পারফেক্ট
angry,bangla,সব মিথ্যা কথা!
neutral,bangla,বিশেষ কিছু হয়নি
neutral,english,The internet is slow today
neutral,english,Just got home
surprised,english,That's the last thing I expected
love,bangla,তুমি আমার প্রেরণা
love,bangla,তুমি সুন্দর তোমার ভিতর আর বাহির
love,english,Love you forever
anxious,english,I feel like something bad will happen
love,english,Forever and always
anxious,english,What if something goes wrong?
anxious,bangla,কিছু একটা খারাপ হবে মনে হচ্ছে
happy,bangla,জীবন সুন্দর
love,bangla,তুমি আমার অস্তিত্ব
anxious,bangla,ফলাফল নিয়ে খুব ভয় লাগছে
surprised,english,I can't believe my eyes
sad,english,I wish I had someone to talk to
angry,english,How dare they do this
love,english,You make my heart smile
happy,bangla,সব কিছু পারফেক্ট
neutral,english,Reading news online
happy,english,What a wonderful day!
surprised,bangla,আমি বাকরুদ্ধ!
angry,bangla,এটা সম্পূর্ণ অগ্রহণযোগ্য
surprised,english,Wow I did not see that coming!
neutral,bangla,গতকাল বাসায় ছিলাম
love,bangla,তোমাকে নিয়ে আমার গর্ব
happy,bangla,আমার লক্ষ্য পূরণ হয়েছে
anxious,bangla,আমার মাথা কাজ করছে না
sad,bangla,আমি হেরে গেছি
anxious,english,I can't stop worrying
angry,english,This is so frustrating!
love,bangla,তুমি আসলেই স্পেশাল
surprised,bangla,এটা তো শকিং!
surprised,bangla,কেউ জানত না এটা হবে!
neutral,bangla,ল্যাপটপ চালু করলাম
happy,english,This makes me smile
surprised,bangla,এটা তো পুরোপুরি অপ্রত্যাশিত!
love,english,Can't imagine life without you
happy,english,Such a pleasant surprise
love,english,You are my whole world
anxious,bangla,হাত পা ঠান্ডা হয়ে আসছে
surprised,english,That's the last thing I expected
sad,bangla,ব্যথাটা সহ্যের বাইরে
happy,english,This is the best news ever
angry,english,Stop lying to me!
anxious,bangla,ভবিষ্যৎ নিয়ে খুব দুশ্চিন্তা
anxious,english,So much pressure on me
happy,english,Perfect moment captured
happy,english,Finally achieved my goal!
love,english,You make my heart smile
neutral,english,I need to buy groceries
sad,english,So disappointed
anxious,bangla,প্যারানয়েড হয়ে গেছি
angry,english,Absolutely ridiculous
angry,english,I am done with this
surprised,bangla,এটা স্বপ্ন নিশ্চয়ই!
surprised,english,Who would have thought!
surprised,english,Holy cow! That's amazing!
surprised,english,What a surprise!
sad,english,This hurts so much
happy,english,Today is my lucky day
happy,bangla,পরিবার নিয়ে আনন্দ
love,english,I adore you
angry,bangla,এটা অন্যায়!
love,english,Thank you for being you
happy,bangla,আজকে আমার সেরা দিন
angry,english,This is a joke
happy,english,Couldn't be happier right now
happy,bangla,জীবনে এত আনন্দ আর কি চাই
love,english,My heart beats for you
anxious,bangla,ভয়ে কুঁকড়ে যাচ্ছি
surprised,english,You're kidding me!
happy,english,This is the best news ever
anxious,english,Feeling really uneasy
neutral,english,Going to work now
anxious,english,I wish I knew what to expect
angry,bangla,আমার সহ্যের বাইরে!
angry,bangla,এটা যুদ্ধের সময়!
sad,english,I miss you so much
love,bangla,আমার হৃদয় তোমার জন্য
anxious,english,I'm afraid of the future
surprised,english,What a surprise!
love,bangla,তোমায় নিয়ে গর্বিত
anxious,english,I'm afraid of the future
angry,bangla,অপমান সহ্য করব না
angry,english,Cannot tolerate this anymore
love,bangla,আমি তোমাকে অনেক ভালোবাসি
angry,english,This is infuriating
happy,bangla,আল্লাহর রহমতে ভালো আছি
happy,english,Life is beautiful!
angry,english,This is infuriating
sad,bangla,আমি ক্লান্ত হয়ে গেছি
happy,bangla,আনন্দে ভাসছি
love,bangla,তুমি ছাড়া কিছুই না আমি
neutral,bangla,আজ রান্না করেছি
neutral,bangla,বই পড়ছি এখন
neutral,bangla,গান শুনছি
sad,bangla,কেউ আমার পাশে নেই
neutral,english,It's a regular weekday
angry,english,This makes my blood boil
love,bangla,তুমি সেরা
sad,bangla,সব কিছু উল্টে গেছে
anxious,bangla,পাগল হয়ে যাব
angry,bangla,এটা সম্পূর্ণ অগ্রহণযোগ্য
surprised,english,I can't believe my eyes
love,bangla,তোমার কথা ভাবলেই ভালো লাগে
angry,bangla,বিশ্বাসঘাতকতা!
angry,english,This is a joke
sad,bangla,কিছুই পরিবর্তন হয় না
happy,english,Couldn't be happier right now
happy,bangla,এটা আমার জন্য গর্বের
anxious,bangla,শান্তি নেই মনে
angry,english,Stop lying to me!
neutral,english,Time to sleep now
surprised,english,Never in a million years
angry,bangla,চুপ করে থাকব না আর
sad,english,My heart is aching
anxious,bangla,হাত পা ঠান্ডা হয়ে আসছে
love,bangla,ভালোবাসি তোমায় অসীম
sad,bangla,অন্ধকারে ডুবে যাচ্ছি
angry,english,I am so fed up!
neutral,english,Need to go grocery shopping
neutral,bangla,গতকাল বাসায় ছিলাম
angry,english,I am done with this
neutral,bangla,বৃষ্টি থেমে গেছে
angry,bangla,আমার রাগ এখন বাস্তব
surprised,english,Wow I did not see that coming!
neutral,bangla,বাসায় বসে আছি
neutral,bangla,পানি খাচ্ছি
anxious,english,When will this be over
surprised,english,I'm speechless right now
sad,bangla,কষ্টে জর্জরিত
anxious,english,I am trembling inside
happy,bangla,আজ অনেক আনন্দ
anxious,english,Worst feeling ever
anxious,english,I'm so scared of the result
sad,english,Feeling really down
anxious,english,What will happen next?
surprised,bangla,এটা তো শকিং!
angry,english,Total disaster
happy,bangla,পরিবার নিয়ে আনন্দ
angry,english,Why do people have to be so rude
surprised,bangla,মাই গড!
love,english,You make my life complete
love,english,You complete me
sad,bangla,ব্যথাটা সহ্যের বাইরে
happy,bangla,আলহামদুলিল্লাহ সব ভালো
anxious,english,I'm so scared of the result
neutral,english,Time to sleep now
sad,english,Why does it hurt so much
